method vars sample run_id time median p95 total stream warmup drift retrain_every status
Stacking-Online 16 400 5 0.024180 0.024159 0.024231 4.836060 200 200 1x 100 ok
BMA 16 400 6 0.012615 0.000060 0.000068 2.522954 200 200 1x 100 ok
Stacking-Online 16 400 6 0.024101 0.024088 0.024143 4.820148 200 200 1x 100 ok
BMA 16 400 7 0.012373 0.000058 0.000066 2.474630 200 200 1x 100 ok
Stacking-Online 16 400 7 0.024204 0.024180 0.024249 4.840786 200 200 1x 100 ok
BMA 16 400 8 0.012607 0.000060 0.000068 2.521309 200 200 1x 100 ok
Stacking-Online 16 400 8 0.024172 0.024156 0.024235 4.834305 200 200 1x 100 ok
BMA 16 400 9 0.012352 0.000058 0.000067 2.470484 200 200 1x 100 ok
Stacking-Online 16 400 9 0.024203 0.024191 0.024245 4.840664 200 200 1x 100 ok
BMA 32 400 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 0 0.520379 0.519882 0.527654 104.075701 200 200 1x 100 ok
BMA 32 400 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 1 0.517954 0.516856 0.522595 103.590825 200 200 1x 100 ok
BMA 32 400 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 2 0.510077 0.508861 0.514123 102.015341 200 200 1x 100 ok
BMA 32 400 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 3 0.508680 0.508136 0.512211 101.736095 200 200 1x 100 ok
BMA 32 400 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 4 0.509797 0.509354 0.515292 101.959375 200 200 1x 100 ok
BMA 32 400 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 5 0.512105 0.508734 0.515093 102.421053 200 200 1x 100 ok
BMA 32 400 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 6 0.509881 0.507006 0.511685 101.976182 200 200 1x 100 ok
BMA 32 400 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 7 0.507241 0.506115 0.511690 101.448188 200 200 1x 100 ok
BMA 32 400 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 8 0.508896 0.508393 0.512618 101.779284 200 200 1x 100 ok
BMA 32 400 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 400 9 0.510157 0.509506 0.514820 102.031409 200 200 1x 100 ok
BMA 64 400 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 400 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 400 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 2 800 0 0.000435 0.000056 0.000067 0.173850 400 400 1x 100 ok
Stacking-Online 2 800 0 0.004980 0.004905 0.005276 1.992154 400 400 1x 100 ok
BMA 2 800 1 0.000438 0.000056 0.000067 0.175156 400 400 1x 100 ok
Stacking-Online 2 800 1 0.004909 0.004899 0.004918 1.963660 400 400 1x 100 ok
BMA 2 800 2 0.000436 0.000056 0.000068 0.174520 400 400 1x 100 ok
Stacking-Online 2 800 2 0.004929 0.004921 0.004941 1.971774 400 400 1x 100 ok
BMA 2 800 3 0.000439 0.000056 0.000069 0.175629 400 400 1x 100 ok
Stacking-Online 2 800 3 0.005205 0.004825 0.004843 2.081969 400 400 1x 100 ok
BMA 2 800 4 0.000434 0.000056 0.000069 0.173566 400 400 1x 100 ok
Stacking-Online 2 800 4 0.004904 0.004905 0.004923 1.961691 400 400 1x 100 ok
BMA 2 800 5 0.000436 0.000056 0.000069 0.174547 400 400 1x 100 ok
